Robot,Embodiment,Mobility,Total number of dof,Manipulator type,DoF Manipulator,Height,Length,Width,Diameter,Weight,Shell material type,Color pallete,Applications,Target user group,Commercially available,Social Software Capabilities,Sensors,Interaction modalities,Face,Software Extension Capability,total number of associated papers,year,robot number,modality number
Buddy,"['humanoid', 'abstract']",on-spot mobile,3,n/a,0,,,,,-1,"['fabric', 'full', 'dressed']",['variable'],['education'],['children'],available ,"['speech synthesis', 'speech recognition', 'teleoperation']","['camera', 'microphone']","['head movement', 'speech', 'facial expression']",['screen'],not mentioned ,1,2018,22,3
Health e eater,['animal-like'],on-spot mobile,1,gesture,1,,,,,-1,"['hard', 'full', 'undressed']","['white', 'black']",['healthcare'],['children'],not available,['speech synthesis'],['x'],"['speech', 'lights', 'head movement']",['static'],not mentioned ,1,2018,22,3
LetterMoose,['animal-like'],fully-mobile,3,functional,1,,,,,-1,"['hard', 'full', 'undressed']",['brown'],['education'],['children'],not available,"['autonomous navigation', 'speech recognition', 'speech synthesis']","['camera', 'microphone']","['body movement', 'speech']",['static'],support ROS,1,2018,22,2
Fribo,['biomimetic'],non-mobile,0,n/a,0,,,,,-1,"['hard', 'full', 'undressed']",['black'],"['entertainment', 'service']",['general public'],not available,"['sound localization', 'speech synthesis']","['ultrasonic', 'microphone', 'temperature']","['screen', 'speech']",['LED features'],not mentioned,1,2018,22,2
Vector ,['mechanoid'],fully-mobile,4,gesture,1,100,60,69,,0.159,"['hard', 'full', 'undressed']",['black'],['entertainment'],['general public'],used to be available,"['autonomous navigation', 'face recognition', 'speech recognition', 'sound localization', 'object recognition', 'sound cues generation']","['laser', 'camera', 'microphone', 'touch']","['sound', 'tactile', 'body movement', 'eye movement', 'lights']",['screen'],library/API available,1,2018,22,5
Pingu,['abstract'],on-spot mobile,3,n/a,0,,,,,-1,"['hard', 'full', 'undressed']","['white', 'black']",['research'],['research groups'],not available,['WoZ'],['x'],"['body movement', 'screen']",['screen'],library/API available,1,2018,22,2
TherMoody,['abstract'],on-spot mobile,3,n/a,0,350,80,160,,-1,"['hard', 'full', 'undressed']","['white', 'grey', 'black']",['research'],['research groups'],not available ,['preprogrammed behaviors'],['temperature'],['facial expression'],['screen'],not mentioned,1,2018,22,1
Poppy,['hybrid'],fully-mobile,25,gesture,6,820,,,,3.5,"['hard', 'partial', 'undressed']","['white', 'black']","['healthcare', 'education']","['patients', 'children']",open-source,['pose tracking'],['camera'],"['body movement', 'gesture', 'head movement', 'screen']",['screen'],library/API available,1,2018,22,4
QT,['humanoid'],on-spot mobile,12,gesture,10,640,220,360,,5,"['hard', 'full', 'undressed']","['white', 'blue']","['research', 'education']","['general public', 'research groups']",available ,"['speech recognition', 'speech synthesis', 'sound localization', 'pose tracking', 'gesture recognition', 'emotion recognition', 'object recognition', 'face recognition']","['depth camera', 'microphone']","['body movement', 'gesture', 'speech', 'screen']",['screen'],"support ROS, library/API available ",1,2018,22,4
Clara,['humanoid'],fully-mobile,,n/a,0,,,,,-1,"['hard', 'full', 'undressed']","['white', 'black']",['healthcare'],['corporations'],not available,"['autonomous navigation', 'speech synthesis', 'pose tracking']","['camera', 'laser', 'depth camera', 'microphone']","['touch screen', 'speech', 'body movement', 'facial expression']",['screen'],library/API available ,1,2018,22,4
Bee-bots,['animal-like'],fully-mobile,2,n/a,0,152,150,82,,0.318,"['hard', 'full', 'undressed']","['yellow', 'black']",['education'],['children'],available ,"['sound cues generation', 'teleoperation']","['touch', 'microphone']","['tactile', 'sound']",['static'],interface available ,1,2019,13,2
Stevie,['humanoid'],fully-mobile,,gesture,-1,,,,,-1,"['hard', 'partial', 'undressed']","['white', 'yellow']","['healthcare', 'service']",['elderly'],available ,"['teleoperation', 'preprogrammed behaviors']","['depth camera', 'microphone', 'laser']","['body movement', 'gesture', 'head movement', 'facial expression', 'lights']",['screen'],not mentioned ,1,2019,13,5
Doris,['hybrid'],fully-mobile,,n/a,0,,,,,-1,"['hard', 'partial', 'undressed']","['metallic', 'black']",['service'],['research groups'],not available,['autonomous navigation'],"['camera', 'bumper', 'ultrasonic', 'laser']","['body movement', 'sound']",['static'],not mentioned ,1,2019,13,2
Hugbot,['animal-like'],on-spot mobile,2,gesture,2,,,,,-1,"['fabric', 'full', 'undressed']","['white', 'black']",['research'],['children'],not available,['undisclosed'],['x'],['gesture'],['static'],not mentioned ,1,2019,13,1
RUBI-6,['hybrid'],on-spot mobile,17,functional,14,,,,,-1,"['hard', 'full', 'undressed']","['black', 'yellow']",['education'],['children'],not available,"['face recognition', 'emotion recognition']","['camera', 'ir', 'touch']","['touch screen', 'speech', 'body movement', 'gesture', 'head movement', 'facial expression', 'eye movement']",['screen'],support ROS,1,2019,13,7
ELE,['animal-like'],on-spot mobile,,n/a,0,,,,,-1,"['fabric', 'full', 'undressed']",['grey'],['healthcare'],['children'],not available,['teleoperation'],"['camera', 'microphone']","['body movement', 'sound']",['partly-actuated'],not mentioned ,1,2019,13,2
KUT-PCR,['humanoid'],fully-mobile,20,functional,14,,,,,-1,"['hard', 'full', 'undressed']","['white', 'grey', 'blue']","['healthcare', 'service']",['patients'],not available,"['autonomous navigation', 'speech recognition', 'speech synthesis']","['laser', 'ultrasonic', 'touch', 'bumper', 'depth camera', 'force', 'microphone']","['tactile', 'speech', 'body movement', 'gesture']",['static'],not mentioned,1,2019,13,4
DEVI,['android'],on-spot mobile,5,gesture,4,,,,,-1,"['soft', 'full', 'dressed']",['light skin tone'],['service'],['general public'],not available,"['face recognition', 'speech recognition', 'speech synthesis', 'learning abilities']","['laser', 'microphone', 'camera']","['screen', 'speech', 'gesture']",['x'],library/API available,1,2019,13,3
Barbot,['animal-like'],on-spot mobile,,gesture,-1,254,,,,-1,"['fabric', 'full', 'undressed']",['brown'],['service'],['general public'],not available ,"['speech synthesis', 'learning abilities']",['x'],"['body movement', 'speech']",['x'],not mentioned ,1,2019,13,2
MOCCA,['humanoid'],fully-mobile,10,gesture,-1,,,,,-1,"['hard', 'full', 'undressed']","['red', 'white']",['education'],"['children', 'general public']",not available,"['speech recognition', 'speech synthesis', 'face recognition', 'object recognition', 'preprogrammed behaviors']","['microphone', 'camera']","['body movement', 'gesture', 'facial expression', 'speech']",['screen'],interface available ,1,2019,13,4
Robot Photographer,"['abstract', 'biomimetic']",on-spot mobile,3,n/a,0,,,,,-1,"['hard', 'partial', 'undressed']","['black', 'grey']",['service'],['general public'],not available ,"['face recognition', 'speech synthesis', 'speech recognition', 'pose tracking', 'gesture recognition']","['camera', 'microphone']","['body movement', 'speech']",['screen'],"support ROS, library/API available",1,2020,17,2
Woodie,['abstract'],fully-mobile,3,n/a,0,,,,600,-1,"['hard', 'full', 'undressed']","['white', 'black']",['research'],['research groups'],not available ,['teleoperation'],['undisclosed'],"['lights', 'body movement']",['x'],not mentioned ,1,2020,17,2
ZOOO,['animal-like'],on-spot mobile,16,gesture,6,,,,,-1,"['fabric', 'full', 'undressed']",['variable'],"['entertainment', 'education']",['children'],not available ,"['teleoperation', 'preprogrammed behaviors']",['undisclosed'],"['sound', 'body movement', 'head movement']",['static'],interface available ,1,2020,17,3
SnuggleBot,['animal-like'],on-spot mobile,3,n/a,0,,,,,-1,"['fabric', 'full', 'undressed']","['blue', 'white']","['service', 'entertainment']",['general public'],not available ,['preprogrammed behaviors'],"['temperature', 'force']",['tactile'],['LED features'],not mentioned,1,2020,17,1
AnRI-2,"['mechanoid', 'biomimetic']",fully-mobile,2,n/a,0,,,,,-1,"['hard', 'full', 'undressed']",['metallic'],['service'],['general public'],not available ,"['object recognition', 'speech recognition']","['camera', 'laser']","['speech', 'body movement']",['screen'],support ROS,1,2020,17,2
Lio,"['mechanoid', 'abstract', 'biomimetic']",fully-mobile,8,functional,6,,790,580,,-1,"['soft', 'full', 'undressed']","['white', 'orange', 'black']","['healthcare', 'service']","['general public', 'patients']",not available,"['object recognition', 'autonomous navigation', 'pose tracking', 'face recognition', 'preprogrammed behaviors', 'speech recognition', 'speech synthesis']","['microphone', 'ultrasonic', 'laser', 'camera', 'depth camera', 'IR', 'touch']","['tactile', 'touch screen', 'lights', 'speech']",['static'],"interface available, support ROS",1,2020,17,4
EMI,['abstract'],fully-mobile,,n/a,0,900,,,,-1,"['hard', 'full', 'undressed']",['white'],"['entertainment', 'research']",['children'],not available,"['autonomous navigation', 'speech recognition']","['laser', 'camera', 'microphone']","['facial expression', 'sound']",['back-projected'],support ROS,1,2020,17,2
3D printed social robot,"['humanoid', 'abstract']",on-spot mobile,2,n/a,0,,,,,-1,"['hard', 'full', 'undressed']",['red'],['healthcare'],"['corporations', 'general public']",not available,"['face recognition', 'sound localization', 'speech recognition']","['microphone', 'depth camera']","['touch screen', 'speech', 'head movement', 'facial expression']",['screen'],not mentioned ,1,2020,17,4
MyJay,['biomimetic'],fully-mobile,6,n/a,0,570,330,525,,10,"['hard', 'partial', 'undressed']","['white', 'green']",['entertainment'],['children'],open-source,"['object recognition', 'autonomous navigation', 'teleoperation', 'learning abilities', 'preprogrammed behaviours', 'sound cues generation']",['camera'],"['sound', 'lights', 'body movement']",['static'],support ROS,1,2020,17,3
Blueberry,['hybrid'],fully-mobile,4,n/a,0,,,,,-1,"['hard', 'full', 'undressed']","['blue', 'metallic']","['service', 'research']","['general public', 'research groups']",not available,"['speech synthesis', 'autonomous navigation', 'face recognition', 'pose tracking']","['camera', 'depth camera', 'laser', 'IR']","['body movement', 'speech']",['screen'],support ROS,1,2020,17,2
Haru,['abstract'],on-spot mobile,,n/a,0,,,,,-1,"['hard', 'full', 'undressed']","['white', 'blue', 'metallic']",['research'],"['general public', 'research groups']",not available,"['pose tracking', 'learning abilities', 'gesture recognition', 'speech recognition']","['camera', 'microphone', 'IR']","['lights', 'screen', 'speech', 'sound', 'body movement']",['screen'],"library/API available, support ROS",1,2020,17,5
2020NoName1,['hybrid'],on-spot mobile,12,functional,10,,,,,-1,"['hard', 'partial', 'undressed']",['black'],['research'],['research groups'],not available,"['eye tracking', 'face recognition', 'gesture recognition']",['camera'],"['tactile', 'head movement', 'eye movement', 'facial expression']","['screen', 'static']",not mentioned ,1,2020,17,4
Smart Assistant Robot for Smart Home,['hybrid'],on-spot mobile,,gesture,-1,,,,,-1,"['hard', 'partial', 'undressed']",['grey'],"['service', 'research']","['general public', 'research groups']",not available,"['sound localization', 'learning abilities', 'speech synthesis', 'eye tracking', 'face recognition', 'speech recognition', 'emotion recognition']","['microphone', 'camera', 'temperature', 'humidity']","['speech', 'head movement', 'eye movement', 'sound', 'facial expression']",['partly-actuated'],library/API available ,1,2020,17,5
AnRI-1,"['mechanoid', 'abstract']",fully-mobile,8,functional,6,,,,,-1,"['hard', 'full', 'undressed']","['black', 'orange']",['service'],['general public'],not available ,"['object recognition', 'speech recognition']","['camera', 'laser']","['speech', 'body movement']",['x'],support ROS,1,2020,17,2
Type-B robot,['humanoid'],on-spot mobile,6,gesture,2,,,,,-1,"['hard', 'full', 'undressed']",['white'],['service'],['elderly'],not available ,['speech synthesis'],"['camera', 'microphone']",['sound'],"['screen', 'static']",library/API available,1,2020,17,1
ROBIN,['hybrid'],on-spot mobile,,gesture,-1,,,,,-1,"['hard', 'partial', 'undressed']","['white', 'black', 'metallic']",['research'],['research groups'],not available ,"['preprogrammed behaviors', 'gesture recognition', 'speech synthesis']",['undisclosed'],"['body movement', 'gesture', 'speech']",['back-projected'],not mentioned ,1,,0,0
Grey Walter's Tortoises,"['abstract', 'mechanoid']",fully-mobile,3,n/a,0,,,,,-1,"['hard', 'full', 'undressed']","['clear', 'metallic']",['research'],['research groups'],not available,['preprogrammed behaviors'],"['lights', 'touch']",['body movement'],['x'],not mentioned ,0,1950,1,1
Cog ,['hybrid'],on-spot mobile,22,functional,12,1720,,2000,,-1,['none'],['metallic'],['research'],['research groups'],not available ,"['compliant actuation', 'preprogrammed behaviors', 'object recognition', 'face recognition']","['camera', 'touch', 'microphone', 'bumper', 'force', 'temperature']","['head movement', 'eye movement', 'body movement', 'tactile', 'sound']",['fully-actuated'],not mentioned ,0,1993,2,5
Petit-mal,"['mechanoid', 'abstract']",fully-mobile,1,n/a,0,,,,,-1,['none'],"['pink', 'metallic', 'black']",['entertainment'],['general public'],not available,"['object recognition', 'preprogrammed behaviors']","['ultrasonic', 'temperature']",['body movement'],['x'],not mentioned ,0,1993,2,1
Furby,['biomimetic'],on-spot mobile,1,n/a,0,203,,,,-1,"['fabric', 'hard', 'full', 'undressed']",['variable'],['entertainment'],['children'],available ,"['preprogrammed behaviors', 'sound cues generation']","['touch', 'microphone']","['sound', 'tactile', 'eye movement', 'body movement']",['static'],not mentioned ,0,1998,4,4
Qrio,['humanoid'],fully-mobile,38,gesture,20,580,190,2600,,6.5,"['hard', 'full', 'undressed']","['metallic', 'black']",['entertainment'],['general public'],used to be available,"['autonomous navigation', 'face recognition', 'object recognition', 'preprogrammed behaviors']","['camera', 'microphone', 'force']","['speech', 'body movement', 'head movement', 'eye movement', 'lights']",['static'],library/API available,0,2000,2,5
PlayROB,['mechanoid'],on-spot mobile,4,functional,3,,,,,-1,"['hard', 'partial', 'undressed']","['metallic', 'white']",['entertainment'],['children'],not available ,['teleoperation'],['touch'],['tactile'],['x'],not mentioned ,0,2003,7,1
Toy Yano,['biomimetic'],on-spot mobile,3,n/a,0,,,,,2,"['fabric', 'hard', 'full', 'undressed']",['brown'],['research'],['research groups'],open-source,['WoZ'],['x'],"['speech', 'sound', 'facial expression']",['fully-actuated'],not mentioned ,0,2003,7,3
Albert Hubo,"['humanoid', 'android']",fully-mobile,66,gesture,22,1250,,,,57,"['hard', 'soft', 'full', 'undressed']","['light skin tone', 'white']",['research'],['research groups'],not available ,"['teleoperation', 'preprogrammed behaviors']",['camera'],"['body movement', 'facial expression']",['fully-actuated'],not mentioned ,0,2005,20,2
REEM-B,['humanoid'],fully-mobile,36,functional,-1,1470,,500,,60,"['hard', 'full', 'undressed']","['grey', 'orange']",['service'],['general public'],available ,"['autonomous navigation', 'speech recognition', 'speech synthesis', 'face recognition', 'object recognition']","['camera', 'microphone', 'force', 'ultrasonic', 'laser']","['body movement', 'gesture', 'head movement', 'sound', 'tactile', 'speech']",['static'],not mentioned ,0,2005,20,6
Mahru,['humanoid'],fully-mobile,37,functional,22,1400,,,,65,"['hard', 'full', 'undressed']","['white', 'blue']","['service', 'research']","['general public', 'research groups']",not available ,"['face recognition', 'object recognition', 'teleoperation', 'pose tracking', 'autonomous navigation']","['camera', 'force', 'microphone', 'laser']","['tactile', 'body movement', 'gesture', 'head movement']",['static'],not mentioned ,0,2005,20,4
Partner ,['humanoid'],fully-mobile,31,functional,-1,1480,395,609,,40,"['hard', 'full', 'undressed']","['white', 'blue']","['service', 'research', 'entertainment']","['general public', 'research groups']",used to be available,['preprogrammed behaviors'],['undisclosed'],"['body movement', 'sound', 'gesture']",['static'],not mentioned ,0,2005,20,3
Herb ,['hybrid'],fully-mobile,27,functional,22,1400,620,655,,127,"['hard', 'partial', 'undressed']","['grey', 'blue']",['service'],['general public'],not available ,"['autonomous navigation', 'object recognition', 'preprogrammed behaviors']","['camera', 'depth camera', 'laser', 'IR', 'microphone', 'touch', 'force']","['body movement', 'sound', 'speech', 'gesture']",['x'],support ROS,0,2006,19,4
AR-600,['humanoid'],fully-mobile,36,functional,20,1450,,,,65,"['hard', 'full', 'undressed']","['white', 'full']","['research', 'service']","['corporations', 'research groups']",used to be available,"['autonomous navigation', 'speech synthesis', 'object recognition']","['camera', 'touch']","['tactile', 'body movement', 'speech']",['static'],not mentioned ,0,2006,19,3
CB2,"['humanoid', 'android']",on-spot mobile,63,gesture,22,1300,,,,33,"['soft', 'full', 'undressed']",['grey'],"['research', 'education', 'research']","['general public', 'research groups']",not available ,"['compliant actuation', 'sound cues generation']","['camera', 'microphone', 'touch']","['tactile', 'body movement', 'head movement', 'sound']",['fully-actuated'],not mentioned ,0,2006,19,4
ECCE,['hybrid'],fully-mobile,60,gesture,26,1050,220,480,,26,['none'],['metallic'],['research'],['research groups'],not available ,"['compliant actuation', 'teleoperation']","['camera', 'microphone', 'force']","['body movement', 'gesture', 'head movement']",['fully-actuated'],not mentioned ,0,2009,22,3
HRP-4C,"['humanoid', 'android']",fully-mobile,44,gesture,16,1600,,,,46,"['hard', 'soft', 'full', 'undressed']","['light skin tone', 'white', 'grey']","['service', 'research']","['general public', 'research groups']",used to be available,"['speech synthesis', 'sound cues generation', 'preprogrammed behaviors']","['camera', 'force']","['tactile', 'body movement', 'sound', 'speech', 'head movement']",['fully-actuated'],library/API available,0,2009,22,5
Hubo 2,['humanoid'],fully-mobile,40,gesture,24,1250,,,,45,"['hard', 'full', 'undressed']",['metallic'],['research'],['research groups'],not available ,"['autonomous navigation', 'speech recognition', 'speech synthesis', 'object recognition']","['camera', 'force']","['body movement', 'head movement', 'gesture']",['static'],not mentioned ,0,2009,22,3
Nextage,['hybrid'],on-spot mobile,15,functional,12,714,270,597,,28,"['hard', 'partial', 'undressed']","['white', 'grey', 'orange', 'black']",['service'],['corporations'],available ,"['object recognition', 'preprogrammed behaviors']",['camera'],"['body movement', 'head movement']",['x'],not mentioned ,0,2009,22,2
QB,"['mechanoid', 'abstract']",fully-mobile,4,n/a,0,1830,356,457,,14.5,"['hard', 'full', 'undressed']","['white', 'black', 'grey']",['telepresence'],['general public'],available ,['teleoperation'],"['camera', 'microphone', 'laser']","['body movement', 'sound', 'screen']",['static'],not mentioned ,0,2009,22,3
Rosie,['mechanoid'],fully-mobile,45,functional,40,1900,900,700,,300,"['hard', 'partial', 'undressed']","['grey', 'orange', 'black']",['service'],['general public'],not available ,"['compliant actuation', 'preprogrammed behaviors']","['camera', 'temperature', 'laser', 'depth camera']","['body movement', 'gesture']",['x'],not mentioned ,0,2009,22,2
Popo,"['humanoid', 'biomimetic']",fully-mobile,,gesture,-1,1460,700,650,,50,"['hard', 'full', 'undressed']","['white', 'pink']",['service'],['general public'],not available,"['face recognition', 'gesture recognition', 'speech recognition', 'autonomous navigation']",['undisclosed'],"['touch screen', 'gesture', 'body movement', 'sound']",['screen'],not mentioned ,0,2009,22,4
Diego-san,"['hybrid', 'android']",fully-mobile,62,gesture,22,1300,,700,,35,"['soft', 'partial', 'undressed']","['light skin tone', 'metallic']",['research'],['research groups'],not available ,['compliant actuation'],"['camera', 'microphone', 'force']","['tactile', 'sound', 'facial expression', 'gesture']",['fully-actuated'],"support ROS, library/API available ",0,2010,27,4
HRP-4,['humanoid'],fully-mobile,34,functional,18,1510,,,,39,"['hard', 'full', 'undressed']","['white', 'blue']","['service', 'research']","['general public', 'research groups']",used to be available,"['autonomous navigation', 'object recognition', 'speech recognition', 'preprogrammed behaviors']","['camera', 'microphone']","['body movement', 'sound', 'gesture']",['static'],library/API available,0,2010,27,3
AILA ,"['humanoid', 'hybrid']",fully-mobile,50,functional,32,1730,1150,750,,97,"['hard', 'partial', 'undressed']","['white', 'metallic']",['research'],['research groups'],not available ,"['face recognition', 'pose tracking', 'teleoperation', 'learning abilities']","['depth camera', 'laser', 'force', 'touch']","['body movement', 'gesture', 'head movement', 'tactile']",['static'],support ROS,0,2010,27,4
M1,['humanoid'],fully-mobile,35,functional,24,1600,670,460,,165,"['hard', 'full', 'undressed']","['white', 'metallic']","['service', 'research']","['general public', 'research groups']",used to be available,"['compliant actuation', 'object recognition']","['camera', 'depth camera', 'force']","['body movement', 'eye movement', 'lights', 'gesture']","['partly-actuated', 'back-projected']",support ROS,0,2011,22,4
Waseda Flutist,['hybrid'],on-spot mobile,41,functional,-1,170,,,,150,"['hard', 'partial', 'dressed']",['grey'],['entertainment'],['general public'],not available ,"['preprogrammed behaviors', 'sound cues generation']","['camera', 'microphone']","['sound', 'body movement']",['partly-actuated'],not mentioned,0,2011,22,2
YuMi,['mechanoid'],on-spot mobile,14,functional,14,593,1850,470,,38,"['hard', 'full', 'undressed']","['white', 'grey']","['service', 'research']","['corporations', 'research groups']",available ,"['preprogrammed behaviors', 'compliant actuation']","['touch', 'force']","['tactile', 'body movement']",['x'],not mentioned ,0,2011,22,2
BHR-5,['humanoid'],fully-mobile,30,functional,14,1650,,,,65,"['hard', 'full', 'undressed']","['metallic', 'black']","['entertainment', 'service']",['general public'],not available ,"['preprogrammed behaviors', 'object recognition']","['camera', 'force']","['body movement', 'gesture', 'speech']",['static'],not mentioned ,0,2012,22,3
Dreamer,['humanoid'],on-spot mobile,31,gesture,24,1727,813,,,90.7,"['hard', 'full', 'undressed']","['white', 'orange', 'metallic']","['research', 'service']",['research groups'],not available ,"['compliant actuation', 'face recognition', 'gesture recognition', 'emotion recognition', 'sound localization']","['camera', 'force']","['tactile', 'body movement', 'gesture', 'head movement', 'eye movement']","['partly-actuated', 'LED features']",library/API available ,0,2012,22,5
Human Support Robot,['mechanoid'],fully-mobile,11,functional,5,1000,430,430,,37,"['hard', 'full', 'undressed']","['white', 'black']",['healthcare'],['patients'],available ,"['autonomous navigation', 'speech recognition', 'sound localization', 'object recognition', 'face recognition', 'pose tracking']","['laser', 'camera', 'microphone', 'force']","['body movement', 'tactile', 'touch screen']",['screen'],support ROS,0,2012,22,3
Qbo,['biomimetic'],fully-mobile,4,n/a,0,456,293,314,,11,"['hard', 'full', 'undressed']","['white', 'black']",['entertainment'],['general public'],open-source ,"['autonomous navigation', 'speech recognition', 'speech synthesis', 'face recognition', 'object recognition', 'teleoperation']","['IR', 'ultrasonic']","['speech', 'body movement', 'head movement', 'eye movement']",['static'],"support ROS, library/API available ",0,2012,22,4
COMAN,['humanoid'],fully-mobile,31,functional,17,950,205,410,,33,"['hard', 'full', 'undressed']","['grey', 'blue']","['research', 'service']",['research groups'],not available ,"['compliant actuation', 'preprogrammed behaviors']",['force'],"['body movement', 'gesture']",['x'],not mentioned ,0,2012,22,2
K5,"['mechanoid', 'abstract']",fully-mobile,,n/a,0,,,,,180.53,"['hard', 'full', 'undressed']","['white', 'grey']",['service'],"['general public', 'corporations']",available ,"['autonomous navigation', 'preprogrammed behaviors']","['camera', 'laser', 'temperature']",['body movement'],['x'],not mentioned ,0,2013,18,1
MAKI,['humanoid'],on-spot mobile,6,n/a,0,342,184,155,,1.86,"['hard', 'full', 'undressed']",['variable'],"['research', 'entertainment']","['research groups', 'general public']",open-source ,['teleoperation'],['x'],"['head movement', 'eye movement']",['partly-actuated'],support ROS,0,2013,18,2
Fetch,['humanoid'],fully-mobile,11,functional,8,1096,,508,,113.3,"['hard', 'full', 'undressed']","['white', 'grey', 'blue']",['service'],['general public'],available ,"['autonomous navigation', 'object recognition', 'preprogrammed behaviors']",['depth camera'],"['body movement', 'head movement']",['static'],"support ROS, library/API available",0,2014,23,2
Mabu,['humanoid'],on-spot mobile,,n/a,0,310,,,,-1,"['hard', 'full', 'undressed']",['white'],['healthcare'],"['patients', 'general public']",available ,"['face recognition', 'eye tracking', 'speech recognition', 'speech synthesis', 'preprogrammed behaviors']",['x'],"['touch screen', 'eye movement', 'speech']",['partly-actuated'],not mentioned ,0,2015,12,3
Erica,['android'],on-spot mobile,44,gesture,24,1660,,,,-1,"['soft', 'full', 'dressed']",['light skin tone'],['research'],['research groups'],not available ,"['face recognition', 'speech recognition', 'speech synthesis']","['camera', 'microphone']","['speech', 'body movement', 'facial expression']",['fully-actuated'],support ROS,0,2015,12,3
Emiew 3,['humanoid'],fully-mobile,23,gesture,12,900,350,500,,15,"['hard', 'full', 'undressed']","['red', 'white']",['service'],['general public'],not available ,"['face recognition', 'speech recognition', 'speech synthesis', 'autonomous navigation']","['camera', 'microphone', 'laser']","['speech', 'body movement', 'gesture', 'head movement', 'lights']",['static'],not mentioned ,0,2016,25,5
Kiwi,['biomimetic'],on-spot mobile,6,n/a,0,300,,,,-1,"['hard', 'full', 'undressed']","['green', 'yellow', 'red', 'white']","['education', 'healthcare']",['children'],available ,"['speech recognition', 'speech synthesis', 'preprogrammed behaviors']",['microphone'],"['body movement', 'eye movement', 'facial expression', 'speech']",['screen'],not mentioned ,0,2016,25,4
Sophia,['android'],fully-mobile,83,gesture,30,1670,,410,,20,"['soft', 'partial', 'dressed']",['light skin tone'],"['service', 'entertainment', 'research']","['general public', 'research groups']",not available ,"['speech recognition', 'speech synthesis', 'sound localization', 'face recognition', 'object recognition']","['camera', 'microphone', 'force', 'touch']","['body movement', 'head movement', 'sound', 'speech', 'facial expression', 'gesture']",['fully-actuated'],not mentioned ,0,2016,25,6
Automatroincs,['mechanoid'],fully-mobile,5,n/a,0,1168,886,733,,-1,"['hard', 'full', 'undressed']",['variable'],"['entertainment', 'service']",['general public'],available ,"['autonomous navigation', 'sound cues generation']","['laser', 'depth camera', 'ultrasonic']","['body movement', 'tactile']",['x'],not mentioned ,0,2016,25,2
TIAGo,['humanoid'],fully-mobile,33,functional,12,1450,,,,70,"['hard', 'full', 'undressed']","['white', 'black', 'orange']",['service'],['general public'],available ,"['autonomous navigation', 'speech recognition', 'speech synthesis', 'face recognition', 'learning abilities']","['depth camera', 'microphone', 'touch', 'laser']","['body movement', 'tactile', 'speech']",['static'],support ROS,0,2016,25,3
Photon,['biomimetic'],fully-mobile,2,n/a,0,190,170,172,,0.69,"['hard', 'full', 'undressed']","['white', 'black']",['education'],['children'],available ,"['preprogrammed behaviors', 'sound cues generation']","['lights', 'touch', 'laser', 'microphone', 'IR']","['tactile', 'body movement', 'lights', 'sound']",['static'],not mentioned ,0,2017,20,4
Cobalt ,"['mechanoid', 'abstract']",fully-mobile,2,n/a,0,1549,533,533,,68,"['hard', 'full', 'undressed']","['blue', 'white']",['service'],"['general public', 'corporations']",available ,"['teleoperation', 'preprogrammed behaviors', 'sound localization', 'autonomous navigation']","['camera', 'depth camera', 'laser', 'gas', 'temperature', 'ultrasonic', 'bumper', 'microphone']","['tactile', 'body movement', 'sound']",['x'],not mentioned ,0,2017,20,3
Ava,['mechanoid'],fully-mobile,5,n/a,0,1650,575,575,,60,"['hard', 'full', 'undressed']","['white', 'grey', 'black']",['telepresence'],['general public'],available ,"['autonomous navigation', 'teleoperation', 'preprogrammed behaviors']","['laser', 'depth camera']","['body movement', 'tactile']",['screen'],library/API available ,0,2018,22,2
Temi,"['mechanoid', 'abstract']",fully-mobile,,n/a,0,1000,450,350,,12,"['hard', 'full', 'undressed']",['black'],"['telepresence', 'entertainment', 'service']",['general public'],available ,"['teleoperation', 'autonomous navigation', 'preprogrammed behaviors']","['laser', 'camera', 'touch']","['body movement', 'speech', 'touch screen']",['screen'],library/API available ,0,2018,22,3
LOVOT ,['biomimetic'],fully-mobile,13,gesture,-1,430,260,280,,4.2,"['hard', 'fabric', 'full', 'undressed']",['variable'],"['entertainment', 'service']",['general public'],available ,"['speech recognition', 'speech synthesis', 'autonomous navigation', 'pose tracking']","['camera', 'depth camera', 'microphone', 'temperature', 'IR', 'force']","['body movement', 'speech', 'tactile', 'eye movement']",['LED features'],not mentioned,0,2018,22,4
Surena ,['humanoid'],fully-mobile,43,functional,28,1700,,,,68,"['hard', 'partial', 'undressed']","['white', 'black']",['research'],['research groups'],not available ,"['preprogrammed behaviors', 'speech recognition', 'speech synthesis', 'object recognition', 'face recognition', 'pose tracking']","['camera', 'microphone', 'depth camera']","['body movement', 'head movement', 'gesture', 'speech', 'lights']",['static'],Support ROS ,0,2019,13,5
Stretch ,['mechanoid'],fully-mobile,8,functional,6,1410,330,340,,23,"['hard', 'full', 'undressed']","['white', 'grey']",['service'],['general public'],available ,['autonomous navigation'],"['depth camera', 'touch', 'laser', 'microphone']","['body movement', 'tactile']",['x'],"support ROS, library/API available ",0,2020,17,2
